<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
29/11/23;000000;279.48;280.56;276.2;276.8;29776060
30/11/23;000000;276.71;278.65;272.75;277.5;55837620
01/12/23;000000;277.04;277.98;273.55;273.97;31604310
04/12/23;000000;273.59;274.95;270.52;270.96;37456310
05/12/23;000000;271.97;279.65;270.54;279.62;46800410
06/12/23;000000;279.92;280.79;266.83;267.58;99849690
07/12/23;000000;267.74;270.44;263.06;265.12;63509590
08/12/23;000000;266.01;268.23;263.72;265.16;35322130
11/12/23;000000;265.17;266.47;254.81;256.89;77590450
12/12/23;000000;256.79;262.88;255.05;257.6;63807080
13/12/23;000000;257.58;261.39;256.5;260.45;29760860
14/12/23;000000;261.4;262.75;255.58;256.64;40477500
15/12/23;000000;256.61;268.91;256.61;268.21;84643800
18/12/23;000000;268.9;270.44;266.54;268.4;51515190
19/12/23;000000;268.35;269.71;265;267.35;38229660
20/12/23;000000;267.52;269.1;266.2;266.61;30929220
21/12/23;000000;266.55;266.87;263.5;265.19;33214370
22/12/23;000000;266.07;271.9;265.37;271.3;58687300
25/12/23;000000;271.75;273.85;270.05;271.08;37827910
26/12/23;000000;271;272.89;270;271.9;22575240
27/12/23;000000;271.9;272.59;270.85;271.08;17191450
28/12/23;000000;270.99;272.48;268.52;271.74;29416450
29/12/23;000000;272.08;272.59;270.55;270.82;20792860
